"統計名：","都道府県データ 社会生活統計指標"
"表番号：","0000010201"
"表題：","Ａ　人口・世帯"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","#A011000","#A0110001","#A0110002","#A01101","#A01201","#A01202","#A0191001","#A0191002","#A0191003","#A0191004","#A0191005","#A0191006","#A02101","#A02102","#A02103","#A02104","#A03401","#A03402","#A03403","#A03404","#A03501","#A03502","#A03503","#A05101","#A05201","#A05202","#A05203","#A05204","#A0520401","#A0520402","#A05205","#A05218","#A05301","#A05302","#A05303","#A05307","#A05308","#A05309","#A06601","#A06602"
"調査年 コード","調査年","地域 コード","地域","/Ａ　人口・世帯","#A011000_総人口【万人】","#A0110001_総人口（男）【万人】","#A0110002_総人口（女）【万人】","#A01101_全国総人口に占める人口割合【％】","#A01201_総面積１km2当たり人口密度【人】","#A01202_可住地面積１km2当たり人口密度【人】","#A0191001_将来推計人口（2020年）【人】","#A0191002_将来推計人口（2025年）【人】","#A0191003_将来推計人口（2030年）【人】","#A0191004_将来推計人口（2035年）【人】","#A0191005_将来推計人口（2040年）【人】","#A0191006_将来推計人口（2045年）【人】","#A02101_人口性比（総数）【‐】","#A02102_人口性比（15歳未満人口）【‐】","#A02103_人口性比（15～64歳人口）【‐】","#A02104_人口性比（65歳以上人口）【‐】","#A03401_年少人口指数【‐】","#A03402_老年人口指数【‐】","#A03403_従属人口指数【‐】","#A03404_老年化指数【‐】","#A03501_15歳未満人口割合【％】","#A03502_15～64歳人口割合【％】","#A03503_65歳以上人口割合【％】","#A05101_人口増減率【％】","#A05201_自然増減率【％】","#A05202_粗出生率（人口千人当たり）【‐】","#A05203_合計特殊出生率【‐】","#A05204_粗死亡率（人口千人当たり）【‐】","#A0520401_粗死亡率（男）（人口千人当たり）【‐】","#A0520402_粗死亡率（女）（人口千人当たり）【‐】","#A05205_年齢別死亡率（0～4歳）（人口千人当たり）【‐】","#A05218_年齢別死亡率（65歳以上）（人口千人当たり）【‐】","#A05301_転入超過率（日本人移動者）【％】","#A05302_転入率（日本人移動者）【％】","#A05303_転出率（日本人移動者）【％】","#A05307_転入超過率（外国人含む）【％】","#A05308_転入率（外国人含む）【％】","#A05309_転出率（外国人含む）【％】","#A06601_婚姻率（人口千人当たり）【‐】","#A06602_離婚率（人口千人当たり）【‐】"
"2017100000","2017年度","00000","全国","","12,671","6,166","6,505","100.00","339.7","1,033.2","125,324,842","122,544,103","119,125,139","115,215,698","110,918,555","106,421,185","94.8","104.9","102.3","76.7","20.5","46.3","66.8","225.4","12.3","60.0","27.7","-0.18","-0.31","7.47","1.43","10.58","11.20","9.99","0.50","34.39","-","1.81","1.81","-","1.98","1.98","4.79","1.68"
"2017100000","2017年度","01000","北海道","","532","251","281","4.20","67.8","237.8","5,216,615","5,016,554","4,791,592","4,546,357","4,280,427","4,004,973","89.1","104.5","96.6","71.9","19.0","52.7","71.6","277.6","11.1","58.3","30.7","-0.60","-0.53","6.40","1.29","11.73","12.77","10.81","0.51","34.39","-0.12","0.91","1.04","-0.10","0.97","1.07","4.50","1.91"
"2017100000","2017年度","02000","青森県","","128","60","68","1.01","132.5","395.7","1,235,971","1,157,332","1,076,393","993,737","908,974","823,610","88.5","104.3","98.4","68.9","19.3","55.7","75.0","288.7","11.0","57.2","31.8","-1.16","-0.75","6.29","1.43","13.75","14.78","12.84","0.69","38.68","-0.48","1.37","1.84","-0.46","1.42","1.88","4.01","1.64"
"2017100000","2017年度","03000","岩手県","","126","60","65","0.99","82.2","337.9","1,224,194","1,161,638","1,096,141","1,028,673","957,788","884,518","92.8","105.7","104.3","72.4","20.3","56.3","76.5","277.8","11.5","56.7","31.9","-1.03","-0.72","6.51","1.47","13.73","14.33","13.17","0.65","38.95","-0.35","1.33","1.67","-0.35","1.39","1.74","3.80","1.48"
"2017100000","2017年度","04000","宮城県","","232","114","119","1.83","319.0","736.3","2,296,113","2,227,471","2,143,601","2,046,219","1,933,258","1,809,021","95.6","105.1","103.2","77.0","19.8","44.7","64.5","225.4","12.1","60.8","27.2","-0.30","-0.31","7.17","1.31","10.28","10.77","9.80","0.54","34.01","-0.05","1.98","2.04","-0.04","2.09","2.13","4.58","1.61"
"2017100000","2017年度","05000","秋田県","","100","47","53","0.79","85.6","310.8","955,838","885,285","814,295","744,014","672,617","601,649","88.6","104.1","100.4","69.9","18.7","65.4","84.1","350.5","10.1","54.3","35.6","-1.39","-1.01","5.42","1.35","15.49","16.05","14.98","0.66","39.66","-0.43","1.10","1.53","-0.43","1.13","1.56","3.32","1.37"
"2017100000","2017年度","06000","山形県","","110","53","57","0.87","118.2","382.0","1,072,473","1,015,910","957,314","897,075","833,844","768,490","93.0","104.8","102.3","74.9","21.1","57.5","78.6","273.1","11.8","56.0","32.2","-0.99","-0.73","6.59","1.45","13.91","14.01","13.82","0.49","39.91","-0.35","1.14","1.49","-0.34","1.19","1.53","3.91","1.32"
"2017100000","2017年度","07000","福島県","","188","93","95","1.49","136.5","446.3","1,827,632","1,733,103","1,635,235","1,533,521","1,426,392","1,314,903","98.0","105.6","108.8","77.8","20.1","52.1","72.2","258.6","11.7","58.1","30.2","-1.00","-0.61","7.02","1.57","13.17","13.47","12.85","0.47","39.39","-0.45","1.27","1.72","-0.43","1.37","1.80","4.29","1.70"
"2017100000","2017年度","08000","茨城県","","289","144","145","2.28","474.3","727.5","2,844,791","2,750,204","2,638,185","2,512,144","2,376,146","2,235,686","99.4","105.2","107.9","82.0","20.7","47.6","68.3","230.7","12.3","59.4","28.3","-0.45","-0.41","7.06","1.48","11.15","11.80","10.51","0.50","35.20","-0.10","1.58","1.69","-0.18","1.82","2.00","4.42","1.62"
"2017100000","2017年度","09000","栃木県","","196","97","98","1.54","305.4","656.1","1,930,235","1,872,842","1,805,949","1,730,414","1,647,288","1,560,619","99.1","105.9","107.4","80.5","20.8","45.6","66.4","218.8","12.5","60.1","27.4","-0.46","-0.40","7.17","1.45","11.15","11.48","10.83","0.53","36.39","-0.08","1.57","1.65","-0.24","1.83","2.07","4.49","1.64"
"2017100000","2017年度","10000","群馬県","","196","97","99","1.55","308.1","859.9","1,926,268","1,865,565","1,796,233","1,719,914","1,637,642","1,552,950","97.6","105.1","106.3","79.4","20.9","49.3","70.2","235.3","12.3","58.7","28.9","-0.36","-0.47","6.78","1.47","11.52","12.11","10.95","0.65","36.18","-0.19","1.34","1.52","-0.09","1.69","1.78","4.25","1.61"
